,Date,Price
129,2010-10-31,263789.34471793653
130,2010-11-30,261339.8768818836
131,2010-12-31,258991.4935735477
132,2011-01-31,256992.84810493744
133,2011-02-28,255423.9758296517
134,2011-03-31,253651.5455281741
135,2011-04-30,251649.6704489704
136,2011-05-31,248766.50764009648
137,2011-06-30,246192.12548700627
138,2011-07-31,243802.4386817677
139,2011-08-31,241959.6871406947
140,2011-09-30,240061.4114711973
141,2011-10-31,238270.7758703257
142,2011-11-30,236638.29053575257
143,2011-12-31,235292.75522422092
144,2012-01-31,234356.531601993
145,2012-02-29,233491.73984420317
146,2012-03-31,232617.15346541983
147,2012-04-30,231630.2783239088
148,2012-05-31,230834.0670511434
149,2012-06-30,230519.1408718633
150,2012-07-31,230517.6171722745
151,2012-08-31,230768.92238317672
152,2012-09-30,231434.2517956955
153,2012-10-31,232454.77385494972
154,2012-11-30,233947.42772731336
155,2012-12-31,235606.23642462448
156,2013-01-31,237605.16456153383
157,2013-02-28,239572.4042864908
158,2013-03-31,241365.5023096738
159,2013-04-30,243051.42891178327
160,2013-05-31,245027.03536136184
161,2013-06-30,247207.72718729204
162,2013-07-31,249274.68454960905
163,2013-08-31,251076.6867889088
164,2013-09-30,252792.4562242201
165,2013-10-31,254552.4565959868
166,2013-11-30,256191.22298337147
167,2013-12-31,257908.3818348529
168,2014-01-31,259610.1854480059
169,2014-02-28,261261.3180322777
170,2014-03-31,262768.2771041014
171,2014-04-30,264129.9349589683
172,2014-05-31,265599.413197931
173,2014-06-30,266667.39291277487
174,2014-07-31,267542.73635292985
175,2014-08-31,268135.43394694634
176,2014-09-30,268966.6016669976
177,2014-10-31,269811.75844635064
178,2014-11-30,271053.4266402968
179,2014-12-31,272709.1596348382
180,2015-01-31,274872.6210277718
181,2015-02-28,277267.5543401243
182,2015-03-31,279514.5736868743
183,2015-04-30,281622.4341039251
184,2015-05-31,283700.80289769924
185,2015-06-30,285698.9208012765
186,2015-07-31,287806.9912536691
187,2015-08-31,289919.31741935574
188,2015-09-30,292319.2533903059
189,2015-10-31,294921.11887888
190,2015-11-30,297849.78079397575
191,2015-12-31,301120.96658285026
192,2016-01-31,304715.0768760794
193,2016-02-29,308093.0141903344
194,2016-03-31,310830.6126393299
195,2016-04-30,313200.5160036776
196,2016-05-31,315483.303882682
197,2016-06-30,317809.9312717688
198,2016-07-31,319825.5309230132
199,2016-08-31,321644.36666158866
200,2016-09-30,323510.7358572394
201,2016-10-31,325766.6083139931
202,2016-11-30,328480.23582995427
203,2016-12-31,331699.64737536915
204,2017-01-31,335126.08269753394
205,2017-02-28,338746.9944865962
206,2017-03-31,342355.9784281791
207,2017-04-30,345908.7262109824
208,2017-05-31,348958.3013336788
209,2017-06-30,351781.9303956335
210,2017-07-31,354316.4494106383
211,2017-08-31,356845.9298476668
212,2017-09-30,359272.5442861586
213,2017-10-31,361581.83453238383
214,2017-11-30,364010.5257735305
215,2017-12-31,366770.751403382
216,2018-01-31,370018.3970277291
217,2018-02-28,373568.80720748473
218,2018-03-31,377610.8223043023
219,2018-04-30,381530.14245269465
220,2018-05-31,385408.1008569286
221,2018-06-30,388393.9031966123
222,2018-07-31,391582.572925773
223,2018-08-31,394142.0256518826
224,2018-09-30,396046.6732231571
225,2018-10-31,396931.3969422364
226,2018-11-30,397516.3277714614
227,2018-12-31,398269.0721843944
228,2019-01-31,399122.36026374047
229,2019-02-28,400489.4111136308
230,2019-03-31,402582.4707048616
231,2019-04-30,404830.70824107947
232,2019-05-31,406761.669346046
233,2019-06-30,408277.1591329025
234,2019-07-31,409645.1922402608
235,2019-08-31,411136.3677553528
236,2019-09-30,412561.3321920132
237,2019-10-31,414594.7085708194
238,2019-11-30,417258.43032505387
239,2019-12-31,420595.8817207652
240,2020-01-31,424247.92251145706
241,2020-02-29,428240.0736393629
242,2020-03-31,432693.709840504
243,2020-04-30,437132.8259280755
244,2020-05-31,439980.0545501774
245,2020-06-30,441554.0041560521
246,2020-07-31,442971.205357797
247,2020-08-31,446522.709977817
248,2020-09-30,452813.5865866121
249,2020-10-31,460725.1112529072
250,2020-11-30,469546.1151074346
251,2020-12-31,477965.1285367904
252,2021-01-31,486162.02425328136
253,2021-02-28,495085.6791309601
254,2021-03-31,505053.2639924036
255,2021-04-30,516377.9454937484
256,2021-05-31,527889.8830257864
257,2021-06-30,538583.0403339909
258,2021-07-31,547130.3016655735
259,2021-08-31,552184.5257063505
260,2021-09-30,554952.8913792563
261,2021-10-31,556843.6028442649
262,2021-11-30,559892.9628107442
263,2021-12-31,564391.3497680785
264,2022-01-31,572850.1441095494
265,2022-02-28,584856.4384938999
266,2022-03-31,600039.698234897
267,2022-04-30,614482.3509193523
268,2022-05-31,625403.1267841052
269,2022-06-30,630729.2550887814
270,2022-07-31,628884.3374284474
271,2022-08-31,621775.1715532636
272,2022-09-30,612292.7539633968
273,2022-10-31,605139.1985861085
274,2022-11-30,600330.5256464978
275,2022-12-31,596772.7582785296
276,2023-01-31,592110.080421362
277,2023-02-28,588315.4251750591
278,2023-03-31,586036.2229726176
279,2023-04-30,586173.6666387863
280,2023-05-31,587743.0810552532
281,2023-06-30,590505.0464203549
282,2023-07-31,593757.8700517976
283,2023-08-31,597107.212587494
284,2023-09-30,599611.328569238
285,2023-10-31,601374.646977434
286,2023-11-30,602316.2945475033
287,2023-12-31,602904.5048007058
288,2024-01-31,603369.7084469696
289,2024-02-29,604532.3867047542
290,2024-03-31,607342.6708333427
291,2024-04-30,611214.6491758826
